#
#  pflu216595cyc 22.5 Pathways link table generated on Mon Sep 10, 2018
#
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
VALDEG-PWY	L-valine degradation I	
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	
PWY0-1299	arginine dependent acid resistance	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-5704	urea degradation II	
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
PWY-5694	allantoin degradation to glyoxylate I	
PWY-2661	trehalose biosynthesis V	
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	activated methyl cycle	SAM cycle
PWY-7205	CMP phosphorylation	
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	nicotinamide adenine dinucleotide biosynthesis
PWY-5340	sulfate activation for sulfonation	sulfation pathway
PWY-5901	2,3-dihydroxybenzoate biosynthesis	
PWY66-21	ethanol degradation II	
PWY-2301	<i>myo</i>-inositol biosynthesis	
PWY-7856	heme <i>a</i> biosynthesis	
TYRFUMCAT-PWY	L-tyrosine degradation I	tyrosine fumarate catabolism
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer	
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
PWY0-1021	L-alanine biosynthesis III	
PWY-5386	methylglyoxal degradation I	
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	
PWY0-1319	CDP-diacylglycerol biosynthesis II	
PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	[Fe-S] cluster biosynthesis	[2Fe-2S] cluster biosynthesis
PWY-6094	3,4,6-trichlorocatechol degradation	
GLUTORN-PWY	L-ornithine biosynthesis I	
PWY-2201	folate transformations I	
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	ubiquinone-8 biosynthesis (prokaryotic)
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine biosynthesis by sulfhydrylation
PWY-6343	ferulate degradation	ferulic acid degradation	vanillin biosynthesis II
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	catechol degradation, ortho-cleavage
P561-PWY	L-proline betaine degradation	stachydrine catabolism	stachydrine degradation	L-proline betaine catabolism
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	ED pathway
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	<i>N</i><sup>10</sup>-formyl-THF biosynthesis
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
PWY-7185	UTP and CTP dephosphorylation I	pyrimidine nucleotides dephosphorylation
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)	reverse transsulfuration	methionine to cysteine transsulfuration
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
LIPASYN-PWY	phospholipases	phospholipase pathway
PWY-6896	thiamine salvage I	thiamin salvage I
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
PWY-7806	glyphosate degradation II	
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	
PHESYN	L-phenylalanine biosynthesis I	
PWY-7663	gondoate biosynthesis (anaerobic)	<i>cis</i>-11-icosenoate biosynthesis	(11<i>Z</i>)-icos-11-enoate biosynthesis	(11<i>Z</i>)-icosenoate biosynthesis	gondoic acid biosynthesis	11-eicosenoic acid biosynthesis
PROUT-PWY	L-proline degradation	L-proline utilization
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex
PWY-7054	<i>N</i>-acetylglutaminylglutamine amide biosynthesis	
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY-5344	L-homocysteine biosynthesis	
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	
P221-PWY	octane oxidation	
PWY-4621	arsenate detoxification II (glutaredoxin)	
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	
PWY0-1337	oleate &beta;-oxidation	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	GDH shunt
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Embden-Meyerhof pathway	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (GSH-dependent)
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
