#
#  pflu216595cyc 22.5 Reactions link table generated on Mon Sep 10, 2018
#
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN-12623	EC-3.2.1.202
RXN-16616	EC-1.1.1.100
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
RXN-15150	EC-2.7.1.202
RXN-15045	EC-2.3.1.15
R310-RXN	EC-4.2.1.84
2.1.1.77-RXN	EC-2.1.1.77
RXN1G1K-30	
RXN-12423	EC-3.2.1.81
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN-12702	EC-6.2.1.42
RXN1G-364	EC-1.1.1
RXN-8976	EC-2.4.1.227
TRANS-RXN-323	
4.2.99.18-RXN	EC-4.2.99.18
LTAA-RXN	EC-4.1.2.48	EC-4.1.2.49
PRAISOM-RXN	EC-5.3.1.24
RXN-14285	EC-2.4.1.1
RXN-17764	EC-1.1.1
RXN-11570	EC-3.1.6.14
RXN0-6575	EC-4.3.99.3
RXN-14249	EC-1.1.1.103
RXN-8757	
DCTP-DEAM-RXN	EC-3.5.4.13
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
RXN-16427	EC-2.7.7.77
RXN0-6427	EC-3.1.7.2
SIROHEME-FERROCHELAT-RXN	EC-4.99.1.4
RXN-14268	EC-2.3.1.16
RXN-2425	EC-4.2.1.17
R221-RXN	EC-1.1.99
CITSYN-RXN	EC-2.3.3.16	EC-2.3.3.1
GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
RXN-12427	EC-3.2.1.159
RXN-9528	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-14014	EC-1.17.1.8
RXN0-2601	EC-4.2.99.18
2.6.1.22-RXN	EC-2.6.1.22
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
TRANS-RXN-267	
ABC-12-RXN	EC-3.6.3.21
RXN-14515	
RXN-8672	EC-1.4.3.19
PEPDEPHOS-RXN	EC-2.7.1.40
RXN1G1K-29	
RXN-14904	
RXN-14118	EC-3.5.4.13
RXN-16418	EC-6.2.1.3
RXN-14726	EC-4.2.1.84
RXN0-5120	EC-2.4.1
RXN1G1K-18	
RXN0-5225	EC-3.5.1.28
RXN-15149	
6.3.4.9-RXN	EC-6.3.4.9
RXN-9548	EC-3.1.2.14
RXNQT-4165	EC-1.1.1.85
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
RXN0-7023	EC-3.1.13
RXN-18208	
2.3.1.168-RXN	EC-2.3.1.168
RXN0-5227	EC-3.4.17.13
RXN0-4401	EC-3.6.1.22
2.1.1.19-RXN	EC-2.1.1.19
PPGPPSYN-RXN	EC-3.1.7.2
NACGLCTRANS-RXN	EC-2.4.1.227
RXN-17809	EC-4.6.1.17
