G1G1K-4288-MONOMER	G1G1K-4288	C3KAR8	hypothetical protein	
G1G1K-9109-MONOMER	G1G1K-9109		2OG-Fe(II) oxygenase	
G1G1K-5908-MONOMER	G1G1K-5908		monovalent cation/H+ antiporter subunit D	
G1G1K-2673-MONOMER	G1G1K-2673	C3K5M4	phosphonate metabolism protein PhnP	
G1G1K-3579-MONOMER	G1G1K-3579		amino acid permease	
G1G1K-1145-MONOMER	G1G1K-1145	C3KDY4	hypothetical protein	
G1G1K-534-MONOMER	G1G1K-534		imidazolonepropionase	
G1G1K-1468-MONOMER	G1G1K-1468	C3K4N9	cyanate MFS transporter	
G1G1K-2558-MONOMER	G1G1K-2558	C3K732	thiopurine S-methyltransferase	
G1G1K-4908-MONOMER	G1G1K-4908	C3KC28	acyl-CoA oxidase	
G1G1K-2074-MONOMER	G1G1K-2074	C3KCV8	epimerase	
G1G1K-7127-MONOMER	G1G1K-7127		circularly permuted type 2 ATP-grasp protein	
G1G1K-9225-MONOMER	G1G1K-9225		outer membrane usher protein	
G1G1K-5229-MONOMER	G1G1K-5229		nitrite reductase large subunit	
G1G1K-4154-MONOMER	G1G1K-4154	C3K9N4	hybrid sensor histidine kinase/response regulator	
G1G1K-4773-MONOMER	G1G1K-4773	C3KB88	membrane protein	
G1G1K-2341-MONOMER	G1G1K-2341		NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	
G1G1K-8612-MONOMER	G1G1K-8612	C3K313	NAD-dependent alcohol dehydrogenase	
G1G1K-160-MONOMER	G1G1K-160		hypothetical protein	
G1G1K-3966-MONOMER	G1G1K-3966	C3K9F6	cyclic peptide transporter	
G1G1K-2525-MONOMER	G1G1K-2525	C3K648	L,D-transpeptidase	
G1G1K-3388-MONOMER	G1G1K-3388	C3K949	DNA-binding response regulator	
G1G1K-6361-MONOMER	G1G1K-6361		50S ribosomal protein L20	
G1G1K-4976-MONOMER	G1G1K-4976	C3KC70	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	
G1G1K-3656-MONOMER	G1G1K-3656		NAD(P)-dependent oxidoreductase	
G1G1K-1804-MONOMER	G1G1K-1804		hypothetical protein	
G1G1K-1391-MONOMER	G1G1K-1391		cell division protein FtsZ	
G1G1K-8843-MONOMER	G1G1K-8843	C3K3D5	Zn-dependent protease	
G1G1K-4862-MONOMER	G1G1K-4862	C3KBP5	AraC family transcriptional regulator	
G1G1K-6362-MONOMER	G1G1K-6362		50S ribosomal protein L35	
G1G1K-4541-MONOMER	G1G1K-4541	C3KA63	hypothetical protein	
G1G1K-6154-MONOMER	G1G1K-6154		LacI family transcriptional regulator	
G1G1K-8291-MONOMER	G1G1K-8291		RNA polymerase sigma factor	
G1G1K-4813-MONOMER	G1G1K-4813	C3KBC4	LacI family transcriptional regulator	
G1G1K-535-MONOMER	G1G1K-535	C3K812	N-formylglutamate deformylase	HutG
G1G1K-4109-MONOMER	G1G1K-4109		DUF2946 domain-containing protein	
